domain,date,dkimSuccessRatio,dmarcSuccessRatio,domainReputation,inboundEncryptionRatio,outboundEncryptionRatio,spfSuccessRatio,userReportedSpamRatio,userReportedSpamRatioLowerBound,userReportedSpamRatioUpperBound
"abccareerline.com","2024-11-15","1","1","MEDIUM","1",\N,\N,"0.009",\N,\N
"abccareerline.com","2024-11-16","1","1","MEDIUM","1",\N,\N,"0.009",\N,\N
"abccareerline.com","2024-11-17","1","1","MEDIUM","1",\N,\N,"0.004",\N,\N
"abccareerline.com","2024-11-18","1","1","MEDIUM","1",\N,\N,"0.006",\N,\N
"abccareerline.com","2024-11-19","1","1","MEDIUM","1",\N,\N,"0.003",\N,\N
"abccareerline.com","2024-11-20","1","1","MEDIUM","1",\N,\N,"0.006",\N,\N
"abccareerline.com","2024-11-21","1","1","MEDIUM","1",\N,\N,"0.01",\N,\N
"abccareerline.com","2024-11-22","1","1","MEDIUM","1",\N,\N,"0.009",\N,\N
"abccareerline.com","2024-11-23","1","1","MEDIUM","1",\N,\N,"0.011",\N,\N
"abccareerline.com","2024-11-24","1","1","MEDIUM","1",\N,\N,"0.009",\N,\N
"abccareerline.com","2024-11-25","1","1","MEDIUM","0.999",\N,\N,"0.01",\N,\N
"abccareerline.com","2024-11-26","1","1","MEDIUM","1",\N,\N,"0.004",\N,\N
"abccareerline.com","2024-11-27","1","1","MEDIUM","1",\N,\N,"0.008",\N,\N
"abccareerline.com","2024-11-28","1","1","MEDIUM","1",\N,\N,"0.003",\N,\N
"abccareerline.com","2024-11-29","1","1","MEDIUM","1",\N,\N,"0.006",\N,\N
"abccareerline.com","2024-11-30","1","1","MEDIUM","1",\N,\N,"0.002",\N,\N
"abccareerline.com","2024-12-01","1","1","MEDIUM","1",\N,\N,"0.003",\N,\N
"abccareerline.com","2024-12-02","1","1","MEDIUM","1",\N,\N,"0.004",\N,\N
"abccareerline.com","2024-12-03","1","1","MEDIUM","1",\N,\N,"0.007",\N,\N
"abccareerline.com","2024-12-04","1","1","MEDIUM","1",\N,\N,"0.002",\N,\N
"abccareerline.com","2024-12-05","1","1","MEDIUM","1",\N,\N,"0.002",\N,\N
"abccareerline.com","2024-12-06","1","1","MEDIUM","1",\N,\N,"0.004",\N,\N
"abccareerline.com","2024-12-07","1","1","MEDIUM","1",\N,\N,"0.003",\N,\N
"abccareerline.com","2024-12-08","1","1","MEDIUM","1",\N,\N,"0.003",\N,\N
"abccareerline.com","2024-12-09","1","1","MEDIUM","1",\N,\N,"0.006",\N,\N
"abccareerline.com","2024-12-10","1","1","MEDIUM","1",\N,\N,"0.005",\N,\N
"abccareerline.com","2024-12-11","1","1","MEDIUM","1",\N,\N,"0.005",\N,\N
"abccareerline.com","2024-12-12","1","1","MEDIUM","1",\N,\N,"0.003",\N,\N
"abccareerline.com","2024-12-13","1","1","MEDIUM","1",\N,\N,"0.004",\N,\N
"abccareerline.com","2024-12-14","1","1","MEDIUM","1",\N,\N,"0.007",\N,\N
"abccareerline.com","2024-12-15","1","1","MEDIUM","1",\N,\N,"0.006",\N,\N
"abccareerline.com","2024-12-16","1","1","MEDIUM","1",\N,\N,"0.003",\N,\N
"abccareerline.com","2024-12-17","1","1","MEDIUM","1",\N,\N,"0.006",\N,\N
"abccareerline.com","2024-12-18","1","1","MEDIUM","1",\N,\N,"0.004",\N,\N
"abccareerline.com","2024-12-19","1","1","MEDIUM","1",\N,\N,"0.005",\N,\N
"abccareerline.com","2024-12-20","1","1","MEDIUM","1",\N,\N,"0.006",\N,\N
"abccareerline.com","2024-12-21","1","1","MEDIUM","1",\N,\N,"0.006",\N,\N
"abccareerline.com","2024-12-22","1","1","MEDIUM","1",\N,\N,"0.005",\N,\N
