"Sending Domain","List Country","Date","DateGroup","Sent","Delivered","Opens","Clicks","Unsubscribes","Disabled","Revenue","Complaints","Blocks","Hard Bounces","Soft Bounces","Raw Opens","Raw Clicks","Raw Unsubscribes","Raw Complaints","Raw Disabled"
"yayjobs.net","US","2026-03-26","03/26","892416","892354","332618","5432","5784","62","934.00220206287","8","0","6","56","411601","8380","6093","8","62"
"yayjobs.net","US","2026-03-27","03/27","890715","890663","326861","4981","5142","52","848.63550054748","0","0","1","51","402528","7657","5458","0","52"
"yayjobs.net","US","2026-03-31","03/31","888362","888318","327822","5546","6530","44","896.14149879594","1","0","3","41","408463","8438","7356","1","44"
"yayjobs.net","US","2026-03-28","03/28","888260","888198","322061","4615","5110","62","766.3895024946","1","0","3","59","391934","7782","5518","1","62"
"yayjobs.net","US","2026-03-29","03/29","885561","885510","326017","4944","5153","51","800.66039902344","1","0","7","44","397752","7982","5499","1","51"
"yayjobs.net","US","2026-03-30","03/30","881992","881936","334416","5707","6473","56","911.46049864963","0","0","7","49","417718","8595","6820","0","56"
"yayjobs.net","US","2026-04-01","04/01","864342","864292","323897","5398","6203","50","917.48220266541","0","0","3","47","401166","8244","7766","0","50"
"rg.expertjobmatch.com","US","2026-03-26","03/26","784299","784275","290224","5218","6275","16","981.31659806333","0","8","4","12","362221","7832","6527","0","16"
"rg.expertjobmatch.com","US","2026-03-31","03/31","781677","781645","290792","5710","5947","27","1003.7587990756","0","5","18","9","364705","8346","6163","0","27"
"rg.expertjobmatch.com","US","2026-03-27","03/27","781554","781535","290046","4981","5381","11","956.85099759698","0","8","2","9","360276","7658","5562","0","11"
"rg.expertjobmatch.com","US","2026-03-28","03/28","777287","777272","288306","4326","4508","10","755.94030483998","0","5","1","9","351068","7241","4674","0","10"
"email1.rg.expertjobmatch.com","US","2026-03-26","03/26","774481","774477","285032","5179","6055","4","990.6213980075","0","0","4","0","354826","7733","6283","0","4"
"rg.expertjobmatch.com","US","2026-03-29","03/29","774390","774376","287647","4557","4805","10","735.19470112491","0","4","3","7","350466","7310","5277","0","10"
"rg.expertjobmatch.com","US","2026-03-30","03/30","772647","772631","293778","5517","6006","9","1014.9555953899","0","7","3","6","369674","8066","6171","0","9"
"email1.rg.expertjobmatch.com","US","2026-03-27","03/27","771967","771958","285063","4650","5234","9","858.79419812141","0","0","5","4","353228","6955","5386","0","9"
"email1.rg.expertjobmatch.com","US","2026-03-31","03/31","769848","769846","285016","5204","5821","2","915.9496979313","0","0","2","0","355627","7698","6034","0","2"
"email1.rg.expertjobmatch.com","US","2026-03-28","03/28","769436","769433","282724","4024","4426","3","692.66830372531","0","0","2","1","342894","6610","4621","0","3"
"email1.rg.expertjobmatch.com","US","2026-03-29","03/29","765429","765426","288105","4369","4846","3","743.65270127729","0","0","3","0","350387","6911","5104","0","3"
"email1.rg.expertjobmatch.com","US","2026-03-30","03/30","761106","761100","291396","5420","5875","6","977.50899482518","0","0","5","1","366952","7943","6029","0","6"
"email1.rg.expertjobmatch.com","US","2026-04-01","04/01","758859","758854","284642","5100","5772","5","1014.6911006598","1","0","3","2","354466","7825","5994","1","5"
"betterjobsonline.com","US","2026-03-26","03/26","758790","758736","275980","4991","5697","54","898.62980178744","0","0","6","48","343455","7605","6020","0","54"
"betterjobsonline.com","US","2026-03-27","03/27","756792","756728","272888","4458","4991","64","784.65040143766","0","0","7","57","337204","6726","5217","0","64"
"betterjobsonline.com","US","2026-03-28","03/28","755922","755861","267705","4266","4566","61","768.01580305863","0","0","4","57","326605","6989","4855","0","61"
"betterjobsonline.com","US","2026-03-29","03/29","754225","754163","271965","4548","5244","62","771.00749977306","0","0","7","55","332046","7225","5574","0","62"
"rg.expertjobmatch.com","US","2026-04-01","04/01","752639","752611","282659","5309","5888","20","994.67619784269","0","8","8","12","352488","7945","6173","0","20"
"betterjobsonline.com","US","2026-03-30","03/30","751986","751924","281914","5472","6230","62","948.20940126199","0","0","5","57","352340","8182","6510","0","62"
"betterjobsonline.com","US","2026-03-31","03/31","748820","748742","280689","5348","6717","78","909.27009882685","0","0","12","66","351148","8046","7076","0","78"
"betterjobsonline.com","US","2026-04-01","04/01","722618","722551","270015","4978","6095","67","955.49240233283","0","0","6","61","335402","7690","6410","0","67"
"aptena.com","US","2026-03-27","03/27","551077","551071","210691","3542","4511","6","628.47230353439","0","0","5","1","260085","5559","5410","0","6"
"aptena.com","US","2026-03-26","03/26","550584","550579","213865","3878","4582","5","678.38770448696","0","0","3","2","264647","5972","4831","0","5"
"aptena.com","US","2026-03-28","03/28","550392","550392","208126","3329","4178","0","606.4527014643","0","0","0","0","253338","6490","4916","0","0"
"aptena.com","US","2026-03-31","03/31","550112","550108","210230","4155","5622","4","695.13399995025","0","0","3","1","261028","6533","5978","0","4"
"aptena.com","US","2026-03-29","03/29","549581","549576","211206","3584","4326","5","606.68679997325","0","0","3","2","257524","5883","4961","0","5"
"aptena.com","US","2026-03-30","03/30","548173","548164","213978","4355","5694","9","719.70760026667","0","0","5","4","267961","6560","6258","0","9"
"aptena.com","US","2026-04-01","04/01","544891","544884","209234","4003","4674","7","750.90440123808","1","0","6","1","259544","6260","4897","1","7"
"jobfalcon.com","US","2026-03-27","03/27","414955","414951","154452","2726","3336","4","493.68980243662","0","0","3","1","192460","4309","3505","0","4"
"jobfalcon.com","US","2026-03-28","03/28","414860","414856","151890","2497","2988","4","450.49490125477","0","0","3","1","187078","4385","3169","0","4"
