"Sending Domain","Date","DateGroup","Sent","Delivered","Opens","Clicks","Unsubscribes","Disabled","Revenue","Complaints","Blocks","Hard Bounces","Soft Bounces","Raw Opens","Raw Clicks","Raw Unsubscribes","Raw Complaints","Raw Disabled"
"yayjobs.net","2026-01-23","01/23","1056139","1056071","475488","7273","7125","68","914.54880176857","4610","0","9","59","639200","10981","7662","4610","68"
"rg.expertjobmatch.com","2025-12-05","12/05","1044000","1043979","462054","8042","6579","10","1590.3814058788","884","11","4","6","620503","12526","6794","884","10"
"rg.expertjobmatch.com","2025-12-18","12/18","1043824","1043788","457860","8100","6617","26","1537.9680038304","0","10","9","17","616452","12154","6873","0","26"
"rg.expertjobmatch.com","2025-12-19","12/19","1043420","1043391","446019","7327","6099","16","1138.4865993969","886","13","3","13","594178","11355","6337","886","16"
"rg.expertjobmatch.com","2025-12-17","12/17","1043353","1043323","463053","8211","7085","19","1515.351593025","893","11","7","12","625220","12069","7377","893","19"
"rg.expertjobmatch.com","2026-02-09","02/09","1042483","1042470","490038","8206","7602","10","1350.8907171935","0","3","2","8","678852","11915","7869","0","10"
"rg.expertjobmatch.com","2026-01-31","01/31","1042351","1042336","457068","7002","6931","10","1169.5510094119","0","5","2","8","605288","11626","7185","0","10"
"rg.expertjobmatch.com","2026-02-02","02/02","1040957","1040943","490645","8894","7310","5","1564.4818044454","876","9","3","2","681357","13000","7634","876","5"
"rg.expertjobmatch.com","2026-02-01","02/01","1040182","1040162","469492","7645","6644","16","1351.5982054565","885","4","3","13","628334","12001","7276","885","16"
"rg.expertjobmatch.com","2025-12-21","12/21","1039244","1039227","442811","6967","5810","8","1262.1566966865","881","9","2","6","580328","11190","6000","881","8"
"rg.expertjobmatch.com","2025-12-07","12/07","1038823","1038793","456387","7738","6002","16","1493.8188027404","876","14","5","11","603768","12510","6407","876","16"
"rg.expertjobmatch.com","2025-12-15","12/15","1038713","1038681","384983","8557","6560","17","1617.9903120045","879","15","6","11","540645","12384","6955","879","17"
"rg.expertjobmatch.com","2026-02-06","02/06","1038097","1038082","460325","6979","7213","15","1168.4565103371","885","0","4","11","622156","10553","7468","885","15"
"rg.expertjobmatch.com","2025-12-02","12/02","1037785","1037759","464334","8651","7585","18","1728.836498837","877","8","3","15","632321","12852","7848","877","18"
"rg.expertjobmatch.com","2025-11-19","11/19","1037461","1037431","476810","8284","7812","17","1562.2015962615","877","13","6","11","645250","12632","8100","877","17"
"rg.expertjobmatch.com","2026-01-23","01/23","1037011","1036984","475497","7775","7511","17","1298.7047024937","1760","10","8","9","642625","11407","7802","1760","17"
"rg.expertjobmatch.com","2025-12-23","12/23","1036825","1036797","447180","7115","5766","16","1357.9672053317","880","12","5","11","593956","10840","5996","880","16"
"rg.expertjobmatch.com","2025-11-18","11/18","1035972","1035936","475771","8341","8478","21","1600.605495431","887","15","6","15","644881","12787","8833","887","21"
"rg.expertjobmatch.com","2026-02-07","02/07","1035783","1035768","451429","6576","6587","11","1123.9362106323","865","4","2","9","598173","11068","6835","865","11"
"rg.expertjobmatch.com","2025-11-23","11/23","1035621","1035598","453362","7116","6047","12","1404.8461079765","876","11","4","8","596195","11991","6313","876","12"
"rg.expertjobmatch.com","2025-12-14","12/14","1035335","1035307","452109","7121","5895","15","1390.7852082062","887","13","2","13","621552","11486","6110","887","15"
"rg.expertjobmatch.com","2026-01-11","01/11","1035165","1035140","467978","8026","6979","15","1465.4156072699","1745","10","4","11","618777","12579","7587","1745","15"
"betterjobsonline.com","2025-11-26","11/26","1034515","1034467","511719","7625","7864","48","1314.8552006502","4659","0","5","43","689649","11930","8301","4659","48"
"betterjobsonline.com","2025-11-24","11/24","1034240","1034176","519546","8196","8864","64","1270.6332998136","4672","0","4","60","715801","12565","9382","4672","64"
"rg.expertjobmatch.com","2025-11-16","11/16","1033957","1033928","462518","7181","6340","18","1337.6861017272","0","11","1","17","608506","11804","6634","0","18"
"betterjobsonline.com","2025-11-23","11/23","1033618","1033561","510885","7652","7543","56","1261.4728006101","4676","1","10","46","683404","12706","8018","4676","56"
"rg.expertjobmatch.com","2025-11-15","11/15","1033164","1033126","452817","6678","6292","28","1309.3151981207","887","10","7","21","591617","11424","6591","887","28"
"email1.rg.expertjobmatch.com","2026-01-23","01/23","1032953","1032947","470906","7737","7138","6","1348.0851032455","0","0","5","1","635222","11509","7401","0","6"
